date,유의파고 평균,최대파고 최고,최대파고 시간,파주기 평균,파주기 최고,평균풍속,평균 현지기압,평균습도,평균수온,loc
2020-02-15,1.1,4.725,23.25,5.625,7.125,6.9,1017.65,87.25,9.325,서해
2020-02-15,1.033333333,2.4,10.33333333,5,6.866666667,7.033333333,1017.933333,85,14.4,남해
2020-02-16,2.166666667,6.4,22,6.8,10.16666667,9.533333333,1006.266667,74.66666667,14.63703062,동해
2020-02-16,3.625,7.825,18.75,8.3,9.075,13.425,1018.425,75,9.3,서해
2020-02-16,2.533333333,5.733333333,14.33333333,6.4,7.833333333,12.7,1015.066667,75,13.96666667,남해
2020-02-17,4.45,8.7,7.5,11.1,12.8,8.9,1009.45,79,12.95,동해
2020-02-17,4.125,8.3,13.5,8.725,9.625,13.775,1022.275,70.25,9.55,서해
2020-02-17,2.966666667,6.266666667,15.66666667,6.5,7.533333333,13.93333333,1019.7,74.33333333,13.93333333,남해
2020-02-18,3.466666667,7.666666667,13.33333333,11.5,12.8,6.566666667,1021.933333,62,12.8,동해
2020-02-18,2.5,6.95,2,7.825,9.525,7.8,1028.775,59.25,9.5,서해
2020-02-18,2.2,5.9,3,7,10.2,10.26666667,1026.8,61,13.3,남해
2020-02-19,1.866666667,4.2,2.666666667,10.3,12.8,4.4,1027.466667,53,12.86666667,동해
2020-02-19,0.675,2.075,4,5.475,6.4,3.4,1029.325,65.5,9.85,서해
2020-02-19,0.866666667,2.233333333,1,7.966666667,12.1,4.5,1029.4,59.33333333,13.63333333,남해
2020-02-20,0.9,2.266666667,2.333333333,7.9,9.633333333,2.733333333,1032.166667,53,13.13333333,동해
2020-02-20,0.4,0.925,4.75,4.975,7.25,3.425,1032.925,73,9.675,서해
2020-02-20,0.566666667,1.166666667,6,7.5,10.7,3.7,1032.766667,56.66666667,13.7,남해
2020-02-21,0.966666667,2.6,20.66666667,5.166666667,7.4,7.366666667,1029.933333,63.66666667,13,동해
2020-02-21,0.5,1.325,18.75,4.025,6,5.175,1028.85,79.25,9.525,서해
2020-02-21,0.633333333,1.966666667,24,4.666666667,8.133333333,5.033333333,1030.4,68.33333333,14.16666667,남해
2020-02-22,1.933333333,4.8,22.33333333,5.866666667,7.833333333,10.53333333,1019.6,56.66666667,12.96666667,동해
2020-02-22,1.475,3.7,22.75,5.55,7.125,8.6,1028.55,65.25,8.95,서해
2020-02-22,1.533333333,3.333333333,11.66666667,5.566666667,6.4,9.433333333,1027.2,62,14,남해
2020-02-23,2.2,5.7,6,7.5,9.1,7.733333333,1025.433333,47.66666667,12.9,동해
2020-02-23,1.125,2.825,2.25,5.975,7.075,4.75,1029.675,58,9.025,서해
2020-02-23,1,2.633333333,3,5.433333333,7.166666667,5.766666667,1030.333333,59.66666667,13.56666667,남해
2020-02-24,1.166666667,2.666666667,8.666666667,5.766666667,7.833333333,6.5,1022.5,57.33333333,12.9,동해
2020-02-24,1.083951716,2.43303934,10.14146642,5.022690977,5.925549048,6.46386854,1019.099208,81.25513436,13.08054593,서해
2020-02-24,0.666666667,1.933333333,22.33333333,5.466666667,8.733333333,4.566666667,1024.933333,68.66666667,14.63333333,남해
2020-02-25,1.433333333,4.4,23,6.3,8.433333333,7.4,1018.166667,83,12.83333333,동해
2020-02-25,1.1,2.68303934,10.89146642,4.15,5.65,8.25,1016.05,88.5,8.25,서해
2020-02-25,1.566666667,3.266666667,11.66666667,5.4,6.2,8.5,1015.666667,89,14.73333333,남해
2020-02-26,1.9,4.3,4.333333333,6.9,7.7,7.866666667,1022.6,71,12.8,동해
2020-02-26,1.3,3.15,11.5,4.75,5.95,8.25,1025,77,8.35,서해
2020-02-26,1.266666667,2.933333333,8.333333333,6.066666667,7.466666667,7.1,1022,80,14.4,남해
2020-02-27,1.7,3.633333333,5,6.8,7.7,6.433333333,1028.5,55.66666667,12.8,동해
2020-02-27,1.2,2.68303934,6.891466418,5.45,7,5.35,1028.55,68.5,8.5,서해
2020-02-27,1.4,3.2,8.333333333,6.066666667,7.4,8.333333333,1027.233333,68.66666667,14.3,남해
2020-02-28,1.1,2.5,15,6.066666667,7.4,6.4,1023.166667,65.66666667,12.66666667,동해
2020-02-28,0.65,1.7,21,4.8,6.25,4.65,1020.9,86,8.3,서해
2020-02-28,1.066666667,2.2,11.66666667,5.166666667,6.666666667,7.4,1022.166667,70.66666667,14.03333333,남해
2020-02-29,0.9,2.2,9,5.166666667,6.866666667,5.666666667,1017.533333,70,12.7,동해
2020-02-29,0.9,1.75,4,5.2,6.5,6.4,1018.05,85,8.35,서해
2020-02-29,1.033333333,2.3,14.33333333,4.9,6.266666667,7.033333333,1016.433333,81,14.56666667,남해
2020-03-01,1.033333333,2.5,22.33333333,5.4,7.766666667,6.566666667,1018.3,67.33333333,12.7,동해
2020-03-01,1,2.25,19.5,5,5.75,7.75,1020.2,77,8.15,서해
2020-03-01,1.1,2.4,9.333333333,4.766666667,5.7,7.233333333,1018,78,14.96666667,남해
2020-03-02,2.266666667,6.166666667,18.33333333,7.066666667,10.16666667,9.533333333,1019.833333,65.33333333,12.66666667,동해
2020-03-02,1.7,3.48303934,9.891466418,6.7,8,8.5,1026,62.5,8.05,서해
2020-03-02,1.366666667,3.2,6,5.666666667,8.733333333,8.4,1022.8,60.66666667,14.5,남해
2020-03-03,2.166666667,5.033333333,4,8.8,10.16666667,6.766666667,1024.9,63,12.73333333,동해
2020-03-03,0.55,1.8,1.5,5.35,6.45,3.4,1024.8,68,8.15,서해
2020-03-03,1.1,2.466666667,11,5.966666667,8.733333333,6.266666667,1023.533333,69,14.33333333,남해
2020-03-04,1.566666667,4.4,22.66666667,6.766666667,8.733333333,8.6,1016.733333,57,12.76666667,동해
2020-03-04,1.75,3.85,21,6.25,7.55,10.1,1026,61,8.1,서해
2020-03-04,1.6,4.066666667,22,5.533333333,8.433333333,10.4,1022.766667,62.66666667,13.93333333,남해
2020-03-05,2.866666667,6.166666667,16.33333333,8.7,10.7,6.5,1021.766667,60.66666667,12.7,동해
2020-03-05,1.6,4.05,2,6.7,8.05,6.2,1027.35,58,8.15,서해
2020-03-05,1.4,3.733333333,2.333333333,5.3,7.466666667,8,1025.366667,55.66666667,13.76666667,남해
2020-03-06,2.166666667,4.733333333,2.333333333,10.3,10.7,4.1,1021.333333,51.66666667,12.7,동해
2020-03-06,0.5,1.25,1,5.5,7.4,3,1022.3,61.5,8.2,서해
2020-03-06,0.733333333,1.733333333,14.33333333,8.566666667,10.16666667,3.166666667,1022.533333,63.33333333,14.36666667,남해
2020-03-07,1.366666667,3.033333333,5.666666667,9.333333333,10.7,4.966666667,1018.1,67.33333333,12.7,동해
2020-03-07,0.45,1.15,8.5,5.6,6.3,3.1,1017.9,75,8.3,서해
2020-03-07,0.8,1.933333333,20,6.166666667,10.16666667,5.966666667,1017.033333,76.33333333,14.4,남해
2020-03-08,0.966666667,1.966666667,5,6.133333333,8.366666667,5.3,1018.633333,69.66666667,12.73333333,동해
2020-03-08,0.35,0.9,11.5,5.55,6.8,3.4,1018.8,81.5,8.5,서해
2020-03-08,0.866666667,1.8,15.66666667,5.1,7.1,6.633333333,1018.366667,71.33333333,14.5,남해
2020-03-09,0.666666667,1.433333333,9,4.766666667,6.433333333,4.9,1014.966667,79,12.8,동해
2020-03-09,0.6,1.6,21.5,5.35,8.35,5.6,1013.25,85,8.4,서해
2020-03-09,1.1,3.633333333,23.66666667,4.766666667,6.066666667,8.266666667,1011.633333,81.66666667,14.83333333,남해
2020-03-10,1.433333333,3.5,18.66666667,5.333333333,6.866666667,9.133333333,1003.766667,84.66666667,12.83333333,동해
2020-03-10,1.408951716,5.35,20,6.2,8.6,10.9,1012.7,71,8.35,서해
2020-03-10,2.266666667,4.733333333,16.33333333,6.5,8.733333333,11.6,1007.466667,80.33333333,14.7,남해
2020-03-11,2.066666667,4.333333333,11,7.433333333,9.1,8.266666667,1013.266667,51.66666667,12.73333333,동해
2020-03-11,1.5,5.05,3,6.8,8.15,5.85,1020.65,54,8.6,서해
2020-03-11,1.633333333,3.8,5,5.266666667,6.566666667,10.03333333,1017.816138,59.67008957,14.73703062,남해
2020-03-12,1.666666667,3.666666667,14.33333333,8.566666667,10.7,7,1019.666667,53.66666667,12.66666667,동해
2020-03-12,0.95,2.3,16,5.35,7.2,7.25,1020.95,80.5,8.5,서해
2020-03-12,0.666666667,1.833333333,1.333333333,6.533333333,10.16666667,3.9,1023.3,56,14.1,남해
2020-03-13,1.4,3.166666667,12,8,10.7,5.833333333,1018.2,59,12.63333333,동해
2020-03-13,1.45,2.88303934,10.39146642,6.05,7.15,8.65,1023.5,62,8.6,서해
2020-03-13,0.739301144,2.05535956,19.59431095,6.265127318,9.517032699,5.559245693,1019.182805,67.67008957,14.73703062,남해
2020-03-14,1.166666667,2.8,2.333333333,6.233333333,8.366666667,5.766666667,1012.7,50.33333333,12.6,동해
2020-03-14,1.15,2.45,10.5,5.75,7,7.35,1018.5,63.5,8.6,서해
2020-03-14,1.4,3.366666667,10,4.933333333,5.9,9.833333333,1017.233333,50.66666667,13.8,남해
2020-03-15,1.7,4.033333333,19,5.866666667,7.7,10.16666667,1008.033333,53,12.46666667,동해
2020-03-15,1.45,3.65,14,5.55,6.95,9.15,1016.1,65,8.65,서해
2020-03-15,1.833333333,4.2,20.33333333,5.8,6.866666667,11.26666667,1014.3,54.33333333,14.1,남해
2020-03-16,2.833333333,6.7,8.333333333,8.633333333,10.7,8.533333333,1018.633333,55.66666667,12.46666667,동해
2020-03-16,1.45,3.53303934,6.891466418,6.75,8.6,6,1023.5,62,8.8,서해
2020-03-16,1.366666667,4.6,2,6.566666667,8.733333333,6.3,1020.816138,59.33675624,14.97036395,남해
2020-03-17,1.766666667,3.766666667,12,6.466666667,8.366666667,9.433333333,1013.4,61.66666667,12.43333333,동해
2020-03-17,1.05,2.3,7.5,5.65,6.2,5.65,1016.8,84.5,8.7,서해
