Date,Open,High,Low,Adj Close,Volume,Close
2022-05-20,17.332001,17.41,15.755,16.673063,739105260,16.694
2022-05-23,16.274,16.915001,16.17901,16.876814,639888690,16.898001
2022-05-24,16.51,16.597,15.78,16.133741,588550020,16.153999
2022-05-25,16.02,17.110991,16,16.953714,781131900,16.975
2022-05-26,16.035999,18.091999,16.021999,17.828611,996574520,17.851
2022-05-27,18.186001,18.881001,18.1,18.787415,738379350,18.811001
2022-05-31,18.98,19.200001,18.35,18.648586,664099510,18.672001
2022-06-01,18.724001,19.053181,18.122,18.297024,544513900,18.32
2022-06-02,18.292,19.618999,18.198,19.56743,648655800,19.591999
2022-06-03,19.081499,19.3323,18.521561,18.696526,598778700,18.719999
2022-06-06,19.139,19.337,18.564199,18.762442,422406150,18.785999
2022-06-07,18.472,19,18.188,18.902266,388914110,18.926001
2022-06-08,18.799,19.18,18.535,18.628553,363252460,18.648001
2022-06-09,18.481001,18.933001,18.041,18.029179,395573790,18.048
2022-06-10,17.6,17.697001,16.868999,16.956299,465649660,16.974001
2022-06-13,16,16.312,15.606,15.630683,604153380,15.647
2022-06-14,15.731,16.066,15.412,15.819487,469679520,15.836
2022-06-15,16.094999,16.868,15.926,16.509768,563935650,16.527
2022-06-16,15.86,15.94232,15.401,15.58473,545748670,15.601
2022-06-17,15.648,15.995,15.328,15.863439,630333970,15.88
2022-06-21,16.474501,17.007999,16.407,16.548725,483088880,16.566
2022-06-22,16.226,16.662001,16.18,16.342939,437997440,16.360001
2022-06-23,16.518499,16.584999,15.853,16.20808,463679590,16.225
2022-06-24,16.5,17.139999,16.309999,17.108141,472152830,17.125999
2022-06-27,17.312,17.33,16.6255,16.851408,427967880,16.868999
2022-06-28,16.9,17.20199,15.945,15.965333,461859360,15.982
2022-06-29,15.814,15.82,15.17,15.525791,482352280,15.542
2022-06-30,15.361,15.567,14.862,15.14319,686070030,15.159
2022-07-01,14.899,15.06291,14.392,14.507854,577610080,14.523
2022-07-05,14.175,14.971,14.055,14.948393,652207610,14.964
2022-07-06,15.01,15.31899,14.789,15.114222,529065860,15.13
2022-07-07,15.4555,15.945,15.389,15.841461,492902760,15.858
2022-07-08,15.43,16.036989,15.389,15.821483,467971760,15.838
2022-07-11,15.526,15.52699,15.03801,15.136199,438388730,15.152
2022-07-12,15.268,15.431,14.877,15.066271,458483100,15.082
2022-07-13,14.59,15.375,14.465,15.148187,521918340,15.164
2022-07-14,15.108,15.47299,14.728,15.355968,456234840,15.372
2022-07-15,15.659,15.782,15.445,15.745563,385935470,15.762
2022-07-18,16.302,16.896999,16.002001,16.084208,670517450,16.101
2022-07-19,16.486,17.110001,16.17201,16.974277,702366080,16.992001
2022-07-20,16.947001,17.932501,16.801001,17.788427,760537790,17.806999
2022-07-21,17.885,18.143999,17.544559,18.031176,557049280,18.049999
2022-07-22,17.893,17.966999,17.136499,17.300938,536670880,17.319
2022-07-25,17.018999,17.124001,16.649,17.006247,480747510,17.024
2022-07-26,16.889,16.919001,16.478001,16.515759,397864910,16.533001
2022-07-27,17.032,17.936001,16.91301,17.771448,569776230,17.790001
2022-07-28,17.975,18.139999,17.440001,17.965244,474646280,17.983999
2022-07-29,17.813,18.243999,17.691999,18.144056,435460420,18.163
2022-08-01,18.181999,18.846001,17.99,18.42177,476469040,18.441
2022-08-02,18.122,18.937531,18.091999,18.50668,489526920,18.525999
2022-08-03,18.184,18.968,18.136999,18.873299,418145570,18.893
2022-08-04,18.849001,19.274,18.76,19.194962,409652270,19.215
2022-08-05,18.809999,19.22892,18.666,18.969196,386068290,18.989
2022-08-08,17.502001,18.239,17.242001,17.774443,983783180,17.792999
2022-08-09,17.252001,17.447189,16.724001,17.068182,668262650,17.086
2022-08-10,17.698,18.118,17.317011,18.078125,597422460,18.097
2022-08-11,18.131001,18.707001,17.875999,17.923288,509326550,17.941999
2022-08-12,18.16,18.718,17.952999,18.689487,478094150,18.709
2022-08-15,18.701,19.164,18.613001,19.01215,457665560,19.032
2022-08-16,18.9195,19.142,18.500999,18.85931,451239640,18.879
2022-08-17,18.523001,18.688,18.145,18.315874,446799110,18.334999
2022-08-18,18.301001,18.86499,18.183001,18.753424,415446560,18.773001
2022-08-19,18.406,18.52,17.77,17.830385,441588330,17.849001
2022-08-22,17.49,17.558001,16.966,17.016235,409592710,17.034
2022-08-23,16.988501,17.465,16.969999,17.163082,369985770,17.181
2022-08-24,17.011999,17.406,16.895,17.204042,522660710,17.222
2022-08-25,16.844,17.947001,16.833,17.894321,770691330,17.913
2022-08-26,17.857,17.924,16.237,16.243042,769127430,16.26
2022-08-29,16.02,16.337999,15.767,15.78452,496131940,15.801
2022-08-30,15.96,16.039,15.182,15.45187,530180690,15.468
2022-08-31,15.384,15.54,14.95851,15.078259,573709860,15.094
2022-09-01,14.209,14.38,13.27021,13.922466,1178865140,13.937
2022-09-02,14.1,14.171,13.591,13.632769,743157460,13.647
2022-09-06,13.731,13.779,13.351,13.450958,535751180,13.465
2022-09-07,13.563,13.838,13.346,13.70377,512657460,13.714
2022-09-08,13.459,14.008,13.369,13.979563,624873120,13.99
2022-09-09,14.157,14.474,14.126,14.376268,487128420,14.387
2022-09-12,14.369,14.547,14.198,14.49418,484159240,14.505
2022-09-13,13.802,13.922,13.099,13.121202,714955630,13.131
2022-09-14,13.254,13.28999,12.913,13.118207,588506540,13.128
2022-09-15,13.0152,13.23299,12.79,12.919354,523625160,12.929
2022-09-16,12.7415,13.212,12.617,13.188154,670751400,13.198
2022-09-19,13.012,13.463,13.01,13.372017,569685280,13.382
2022-09-20,13.2145,13.48276,13.057,13.166168,524817750,13.176
2022-09-21,13.213,14.031,13.11,13.251106,807679400,13.261
2022-09-22,13.07,13.14897,12.428,12.55163,759162160,12.561
2022-09-23,12.42,12.611,12.257,12.506662,663309310,12.516
2022-09-26,12.491,12.659,12.214,12.218877,547342690,12.228
2022-09-27,12.507,12.736,12.258,12.403739,553854060,12.413
2022-09-28,12.41,12.823,12.35386,12.726499,542413880,12.736
2022-09-29,12.448,12.5,11.94601,12.210884,532763120,12.22
2022-09-30,12.087,12.633,12.075,12.129944,565638420,12.139
2022-10-03,12.347,12.678,12.105,12.502666,547478470,12.512
2022-10-04,12.879,13.22,12.879,13.157177,584181670,13.167
2022-10-05,12.9107,13.321,12.621,13.199147,507130730,13.209
2022-10-06,13.22,13.656,13.103,13.120205,644156890,13.13
